File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
ApplicationConfig.zip,9e7221ad4d25d7348de5f887cade14dd,411,400
BuiltInPlugins.zip,b79263874fb575392751d6aedb3a3870,52080270,68588259
BuiltInStandalonePlugins.zip,1574e5849d8ff7da2802226566d93c51,32932497,44953361
Plugins.zip,b4b04085aaf099cec525e5368992fbf5,964224,2137536
Qml.zip,4377ceffa9c701ab550c0ef8c88f96d7,3055570,8203065
RibbonConfig.zip,061e88cbf7a2d3b5553718ce43fae26c,6916,72213
StudioFonts.zip,6df04925b4a61fdf50c06ff827eb369a,105391316,132630629
WebView2.zip,692a37751c4a4f4c041e28ef0fb17451,81240,158648
WebView2RuntimeInstaller.zip,e42a6697bf05466d4dba26c8fe476d2e,1486447,1589080
RobloxStudio.zip,8e719f806c7f07dd1be4e3ca9fa2e23b,91186298,177927797
Libraries.zip,322c90e2d1ff8cf426f119557d82795f,6778766,17040216
LibrariesQt5.zip,af623f3b45a3d0264a82bdec8a4e90e4,13401878,32420112
content-avatar.zip,8e42a6c83eeb825614c06b1b04a4c236,562201,1699119
content-configs.zip,3ff5e3b55fea4b4f73d2fb9d376a3fce,261962,1168866
content-fonts.zip,30c885074d0320c0932e06bfd537c915,6005683,12339768
content-models.zip,671fb1a7b360b7f4281af5e52acc2c84,491904,1569768
content-qt_translations.zip,9ac41564393da36084990e6dd9d08f50,650142,2218403
content-sky.zip,1d0390337d1a4a58e5514be1a9481ad6,2448711,4304365
content-sounds.zip,32622161783a33a229827a2a0261cc16,597244,627948
shaders.zip,e9cbf695271da55516cabac847befab9,8451644,49719829
ssl.zip,5c818e18b34530c7597705ea458dbf11,135951,238513
content-textures2.zip,8fada370c5c5839080f35d3c12063754,13549632,14565190
content-textures3.zip,909f4b9d7bc03a926d35e84d0c99ffbf,3713218,8777652
content-studio_svg_textures.zip,3383583f39b723b693dbf7649a768156,6750580,5641685
content-terrain.zip,b4b75c21ce05378163042dc45cec5834,3267,26109
content-platform-fonts.zip,8f379ec2b22ff106b837d79f7fdbf0d8,13686751,16427228
content-platform-dictionaries.zip,8956576b30a16412013fc1f5b3303fea,174486,589261
content-api-docs.zip,8cab8c14e6eea735e6dd314aa7e94889,508168,5289835
extracontent-scripts.zip,6e5af01adf9fcecd26eb7b06c5bc8002,2773900,8484748
extracontent-luapackages.zip,9d57708c58c5a895bd0ba498f0afbcd4,11706617,21455592
extracontent-translations.zip,1377d9f9739b3872cda45b6dd4386e2f,484208,1491416
extracontent-models.zip,ccce2a53d621e0875dc3932c4aa5aa42,8288656,8367286
extracontent-textures.zip,4f35f61a4f1eae1d949e53f69a87e296,17130170,17234446
redist.zip,c9622ecfbec2c14d30f390909c563124,1372275,3196216